Open,High,Low,Close,Adj Close,Volume,Date
156.080002,156.740005,154.279999,155.000000,155.000000,98944600,2023-03-17
155.070007,157.820007,154.149994,157.399994,157.399994,73641400,2023-03-20
157.320007,159.399994,156.539993,159.279999,159.279999,73938300,2023-03-21
159.300003,162.139999,157.809998,157.830002,157.830002,75701800,2023-03-22
158.830002,161.550003,157.679993,158.929993,158.929993,67622100,2023-03-23
158.860001,160.339996,157.850006,160.250000,160.250000,59196500,2023-03-24
159.940002,160.770004,157.869995,158.279999,158.279999,52390300,2023-03-27
157.970001,158.490005,155.979996,157.649994,157.649994,45992200,2023-03-28
159.369995,161.050003,159.350006,160.770004,160.770004,51305700,2023-03-29
161.529999,162.470001,161.270004,162.360001,162.360001,49501700,2023-03-30
162.440002,165.000000,161.910004,164.899994,164.899994,68694700,2023-03-31
164.270004,166.289993,164.220001,166.169998,166.169998,56976200,2023-04-03
166.600006,166.839996,165.110001,165.630005,165.630005,46278300,2023-04-04
164.740005,165.050003,161.800003,163.759995,163.759995,51511700,2023-04-05
162.429993,164.960007,162.000000,164.660004,164.660004,45390100,2023-04-06
